book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
786			"Walshe,M."	Thus Have I Heard	The Long Discourses of the Buddha	1987	Wisdom Publications			Suttas not PTS	PAL	DN	WAL				0-86171-030-4	Paperback book	1	
787			"Bodhi, Bhikkhu"	The Discourse on The All-Embracing Net of Views	The Brahmajala Sutta and its Commentaries	1978	Buddhist Publication Society			Suttas not PTS	PAL	DN C	BOD					Hardback book	1	
788			"Bodhi, Bhikkhu"	The Discourse on the Fruits of Recluseship	The Sammannaphala Sutta and its commentaries	1989	Buddhist Publication Society			Suttas not PTS	PAL	DN C	BOD				995-24-0045-7	Paperback book	1	
789			"Bodhi, Bhikkhu"	The Great Discourse On Causation	The Mahanidana Sutta and its Commentaries	1984	Buddhist Publication Society			Suttas not PTS	PAL	DN C	BOD				N/A	Paperback book	1	
790			"Nanamoli, Bhikkhu"	The Guide		1977	Pali Text Society			Abhidhamma	PAL	GEN	NAN				0-7100-8576-1	Hardback book	1	
791			"Ireland, J.D."	The Itivuttaka	The Buddha's sayings	1991	Buddhist Publication Society			Suttas not PTS	PAL	Iti	IRE				995-24-0066-X	Paperback book	1	
792			Aryara	The Marvelous Companion	Life Stories of the Buddha	1983	Dharma Publishing	"Berkeley, USA"		Suttas not PTS	PAL	JA	ARY	J?taka tales	34 tales based on the English transation of ?rya??ra's J?takam?l? by Jospeh Speyer	Binding loose on first page	0-913546-89-5	Book	1	
793			"Black, D."	Leaves of the Heaven Tree	The Great Compassion of the Buddha	1997	Dharma Publishing			Suttas not PTS	PAL	JA	BLA				0-89800-283-4	Paperback book	1	
794	Francis & Thomas (Editors)			Jataka Tales		2000	Jaico Publishing House			Suttas not PTS	PAL	JA	FRA				81-7224-096-1	Paperback book	1	
795	"Garrett Jones, J."		"Garrett Jones, J."	Tales and Teachings of the Buddha	The Jataka Stories in relation to the Pali Canon	1979	George Allen and Unwin Ltd			Suttas not PTS	PAL	JA	GAR				0-04-294104-0	Hardback book	1	
796			"Horner, I.B."	Ten Jataka Stories	A pali reader	1974	Mahamakut rajavidyalaya Press			Suttas not PTS	PAL	JA	HOR					Paperback book	1	
797	"Khan, Noor Inayat"			Twenty Jataka Tales		1975	East-West Publications Fonds b.v.	The Hague		Buddhism for children	PAL	JA 	KHA	J?taka tales; children	Retelling of twenty tales of the Buddha's past lives into short stories for children.	Illustration at front of book needs re-sticking.	90-70104-237	Book	1	
798			"Nanamoli, Bhikkhu"	Minor Readings and Illustrator		1997	Pali Text Society			Abhidhamma	PAL	Khp	NAN				0-86013-023-1	Hardback book	1	
799			"Law, Bimila Churn"	The Debates Commentary		1989	Pali Text Society			Commentary	PAL	Kv C	LAW				0-86013-019-3	Hardback book	1	
800			"Rhys Davids, T. W."	The Questions of King Milinda Part 1	Sacred Books of the East Vol 35	1890	Oxford University Press			In English Suttas	PAL	Miln	RHY				81-208-0136-9	Hardback book	1	
801			"Rhys Davids, T. W."	The Questions of King Milinda Part 2	Sacred Books of the East Vol 36	1894	Oxford University Press			In English Suttas	PAL	Miln	RHY				81-208-0137-7	Hardback book	1	
802			"Evans, D."	Discourse of Gotama Buddha	Middle Collections	1992	Janus Publishing Company			Suttas not PTS	PAL	MN	EVA				1-85756-025-6	Hardback book	1	
803			"Evans, D."	Discourse of Gotama Buddha	Middle Collections	1992	Janus Publishing Company			Suttas not PTS	PAL	MN	EVA				1-85756-025-6	Hardback book	1	
804			"Horner, I.B."	Middle Length Sayings I		1976	Pali Text Society			In English Suttas	PAL	MN	HOR				0-7100-8392-0	Hardback book	1	
805			"Horner, I.B."	Middle Length Sayings II		1989	Pali Text Society			In English Suttas	PAL	MN	HOR				0-86013-021-5	Hardback book	1	
806			"Horner, I.B."	Middle Length Sayings II		1989	Pali Text Society			In English Suttas	PAL	MN	HOR				0-86013-021-5	Hardback book	1	
807			"Horner, I.B."	Middle Length Sayings III		1993	Pali Text Society			In English Suttas	PAL	MN	HOR				0-86013-022-3	Hardback book	1	
808			"Nanamoli, Bhikkhu"	The Middle Length Discourses of the Buddha	A new translation of the Majjhima Nikaya	1995	Wisdom Publications			Suttas not PTS	PAL	MN	NAN				0-86171-072-x	Hardback book	1	
809			"Bodhi, Bhikkhu"	The discourse on the root of existence	The Mulapariyaya Sutta and its Commentaries	1992	Buddhist Publication Society			Suttas not PTS	PAL	MN C	BOD				955-24-0064-3	Paperback book	1	
810	"Hanh, Thich Nhat"			The Sutra on the Full Awareness of Breathing		1988	Parallax Press			Non Triratna authors	PAL	MN C	HAN				0-938077-04-X	Paperback book	1	
811	"Hanh, Thich Nhat"			The Sutra on the Full Awareness of Breathing		1988	Parallax Press			Non Triratna authors	PAL	MN C	HAN				0-938077-04-X	Paperback book	1	
812	"Hanh, Thich Nhat"			The Sutra on the Full Awareness of Breathing		1988	Parallax Press			Non Triratna authors	PAL	MN C	HAN				0-938077-04-X	Paperback book	1	
813	"Hanh, Thich Nhat"			The Sutra on the Full Awareness of Breathing		1988	Parallax Press			Non Triratna authors	PAL	MN C	HAN				0-938077-04-X	Paperback book	1	
814			"Bodhi, Bhikkhu"	The Connected Discourses of the Buddha vol 1		2000	Pali Text Society			In English Suttas	PAL	SN	BOD				0-86013-381-8	Hardback book	1	
815			"Bodhi, Bhikkhu"	The Connected Discourses of the Buddha vol 2		2000	Pali Text Society			In English Suttas	PAL	SN	BOD				0-86013-381-8	Hardback book	1	
816			"Norman, K"	The Group of Discourses II	Sutta Nipata	1992	Pali Text Society			In English Suttas	PAL	SN	NOR				0-86013-303-6	Hardback book	1	
817			"Norman, K R"	The Rhinoceros Horn 	& other Early Buddhist Poems 	1985	The Pali Text Society				PAL	Sn	NOR				0-86013-154-8	PAPER	1	
818			"Rhys Davids, T W"	Kindred Sayings I		1989	Pali Text Society			In English Suttas	PAL	SN	RHY				0-86013-004-5	Hardback book	1	
819			"Walshe,M."	Samyutta Nikaya	An anthology Part III	1985	Buddhist Publication Society			Suttas not PTS	PAL	SN	WAL				0068-3345	Paperback book	1	
820			"Woodward, F L"	Kindred Sayings II		1982	Pali Text Society			In English Suttas	PAL	SN	WOO					Hardback book	1	
821			"Woodward, F L"	Kindred Sayings III		1975	Pali Text Society			In English Suttas	PAL	SN	WOO				0-7100-8079-4	Hardback book	1	
822			"Woodward, F L"	Kindred Sayings IV		1980	Pali Text Society			In English Suttas	PAL	SN	WOO				0-7100-7513-8	Hardback book	1	
823			"Woodward, F L"	Kindred Sayings V		1979	Pali Text Society			In English Suttas	PAL	SN	WOO				0-7100-0268-8	Hardback book	1	
824			"Norman, K"	Elders' verses I		1990	Pali Text Society			In English Suttas	PAL	Thag	NOR				0-86013-029-0	Hardback book	1	
825			"Norman, K"	Elders' verses II		1991	Pali Text Society			In English Suttas	PAL	ThigA	NOR				0-86031-031-2	Hardback book	1	
826	"Murcott, Susan"			The First Buddhist Women	Translations & Commentary on the Therigatha	1991	Parallax Press				PAL	ThigA	MUR				0-938077-42-2	paper	1	
827			"Ireland, J.D."	The Udana	Inspired Utterances of the Buddha	1990	Buddhist Publication Society			Suttas not PTS	PAL	Ud	IRE				955-24-0055-4	Paperback book	1	
828			"Masefield, P."	The Udana	Sacred Books of the Buddhists Vol XLII	1994	Pali Text Society			In English Suttas	PAL	Ud	MAS				086013-311-7	Hardback book	1	
829			"Masefield, P."	The Udana Commentary Vol II	Sacred texts of the buddhists Vol. XLV	1995	Pali Text Society			Commentary	PAL	Ud C	MAS				086013-317-6	Hardback book	1	
830			"Ireland, J.D."	The Udana & the Itivuttaka	Two classics from the Pali Canon	1997	Buddhist Publication Society			Suttas not PTS	PAL	Ud/Iti	IRE				955-24-0164-X	Paperback book	1	
831			"Woodward, F L"	The Minor Anthologies of the Pali Canon Part II		1987	Pali Text Society			In English Suttas	PAL	Ud/Iti	WOO				0-86013-036-3	Hardback book	1	
832			"Horner, I.B."	Sacred Books of the Buddhists Vol IV	Book of the Dicipline Part 4	1993	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	0-86013-040-1	Hardback book	1	
833			"Horner, I.B."	Sacred Books of the Buddhists Vol X	Book of the Dicipline Part 1	1992	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	0-86013-037-1	Hardback book	1	
834			"Horner, I.B."	Sacred Books of the Buddhists Vol XI	Book of the Dicipline Part 2	1993	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	086013-038	Hardback book	1	
835			"Horner, I.B."	Sacred Books of the Buddhists Vol XIII	Book of the Dicipline Part 3	1993	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	086013-039-8	Hardback book	1	
836			"Horner, I.B."	Sacred Books of the Buddhists Vol XX	Book of the Dicipline Part 5	1992	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	0-86013-044-4	Hardback book	1	
837			"Horner, I.B."	Sacred Books of the Buddhists Vol XXV	Book of the Dicipline Part 6	1993	Pali Text Society			Vinaya	PAL	VIN	HOR			Vinaya Pitaka	0-86013-049-5	Hardback book	1	
838			"Rhys Davids, T.W."	Sacred Books of the East Vol 13	Vinaya Texts Part 1	1982	Motilal Banarsidass			Vinaya	PAL	VIN	RHY			"The Patimokkha, The Mahavagga I - IV"	0-89581-522-2	Hardback book	1	
839			"Rhys Davids, T.W."	Sacred Books of the East Vol 17	Vinaya Texts Part 2	1983	Motilal Banarsidass			Vinaya	PAL	VIN	RHY			"The Mahavagga V - X, The Kullavagga I - III"	0-89581-599-0	Hardback book	1	
840			"Rhys Davids, T.W."	Sacred Books of the East Vol 20	Vinaya Texts Part 3	1984	Motilal Banarsidass			Vinaya	PAL	VIN	RHY			The Kullavagga IV - XIII	0-89581-601-6	Hardback book	1	
841	"Wille, Klaus"			Die Handschriftliche Uberlieferung Des Vinayavastu Der Mulasarvastivadin		1987	Franz Steiner Verlag			?	PAL	VIN	WIL G				3-515-05220-8	Hardback	1	
842			"Horner, I.B."	Minor Anthologies IV	Sacred Books of the Buddhists Vol XXX	1998	Pali Text Society			In English Suttas	PAL	Vv/Pv	HOR				086013-073-8	Hardback book	1	
843				Anguttara-Nikaya Vol 1 			Pali Text Society		2	In Pali	PAL P	AN					0-86013-067-3	Hard Copy	1	
844				Anguttara-Nikaya Vol 2			Pali Text Society			In Pali	PAL P	AN					0-7100-8517-6	Hard Copy	1	
845				Anguttara-Nikaya Vol 3			Pali Text Society			In Pali	PAL P	AN					0-7100-8515-8	Hard Copy	1	
846			"Sonam, Ruth"	Anguttara-Nikaya Vol 4			Pali Text Society			In Pali	PAL P	AN					0-7100-0156-8	Hard Copy	1	
847			"Morris, R., Warder, A.K."	Anguttara-Nikaya Vol 5			Pali Text Society			In Pali	PAL P	AN					0-7100-0331-5	Hard Copy	1	
848			"Morris, Richard"	Anguttara-Nikaya Vol 6			Pali Text Society			In Pali	PAL P	AN					0-7100-0899-6	Hard Copy	1	
849			"Conze, Edward"	The Digha Nikaya Vol 1			Pali Text Society			In Pali	PAL P	DN					0-7100-8322-X	Hard Copy	1	
850			"Price, A.F; Wong, Mou-Lam"	The Digha Nikaya Vol 2			Pali Text Society			In Pali	PAL P	DN						Hard Copy	1	
851			"Price, A.F; Wong, Mou-Lam"	The Digha Nikaya Vol 3			Pali Text Society			In Pali	PAL P	DN					0-86013-098-3	Hard Copy	1	
852				Itivuttaka			Pali Text Society			In Pali	PAL P	Iti					0-7100-8190-1	Hard Copy	1	
853				The Milindapanno with Milinda-tika		1997	Pali Text Society			In Pali	PAL P	Miln						Hard Copy	1	
854				Majjhima-Nikaya Vol 1			Pali Text Society			In Pali	PAL P	MN					0-7100-0271-9	Hard Copy	1	
855				Majjhima-Nikaya Vol 2			Pali Text Society			In Pali	PAL P	MN					0-7100-8568-X	Hard Copy	1	
856				Majjhima-Nikaya Vol 3		1977	Pali Text Society			In Pali	PAL P	MN					0-7100-8803-5	Hard Copy	1	
857			"Trenckner, V."	Majjhima-Nikaya Vol 4		1991	Pali Text Society			In Pali	PAL P	MN					0-86013-126-2	Hard Copy	1	
858				Samyutta-Nikaya Vol 1		1991	Pali Text Society			In Pali	PAL P	SN					0-86013-165-3	Hard Copy	1	
859				Samyutta-Nikaya Vol 2		1989	Pali Text Society			In Pali	PAL P	SN					0-86013-166-1	Hard Copy	1	
860			"Walshe, M "	Samyutta-Nikaya Vol 3		1975	Pali Text Society			In Pali	PAL P	SN					0-7100-8321-1	Hard Copy	1	
861			"Leon Feer, M."	Samyutta-Nikaya Vol 4		1990	Pali Text Society			In Pali	PAL P	SN					0-86013-168-8	Hard Copy	1	
862				Samyutta-Nikaya Vol 5		1975	Pali Text Society			In Pali	PAL P	SN					0-7100-8321-1	Hard Copy	1	
863				Samyutta-Nikaya Vol 6		1990	Pali Text Society			In Pali	PAL P	SN					0-86013-168-8	Hard Copy	1	
864				Sutta-Nipata		1990	Pali Text Society			In Pali	PAL P	Sn					0-86013-177-7	Hard Copy	1	
865				Paramattha-Dipani Theragatha-Atthakatha III		1984	Pali Text Society			In Pali	PAL P	ThagA					0-7102-0136-2	Hard Copy	1	
866			"Masefield, P."	Udana		1982	Pali Text Society			In Pali	PAL P	Ud						Hard Copy	1	
867			"Masefield, P."	The Vinaya Pitakam Vol 1		1969	Pali Text Society			In Pali	PAL P	Vin						Hard Copy	1	
868				The Vinaya Pitakam Vol 2		1977	Pali Text Society			In Pali	PAL P	Vin					0-7100-8657-1	Hard Copy	1	
869				The Vinaya Pitakam Vol 3		1984	Pali Text Society			In Pali	PAL P	Vin					0-7102-0105-2	Hard Copy	1	
870			"Oldenberg, H."	The Vinaya Pitakam Vol 4		1984	Pali Text Society			In Pali	PAL P	Vin					0-7102-0107-9	Hard Copy	1	
871			"Oldenberg, H."	The Vinaya Pitakam Vol 5		1982	Pali Text Society			In Pali	PAL P	Vin						Hard Copy	1	
872	"Beer, Robert"			Encyclopeadia of Tibetan Symbols and Motifs			Serindia Publications				REF	GEN					0-90602-6482	Hardback	1	
873	"Keown, Damien"			Oxford Dictionary of Buddhism		2003	Oxford University Press				REF	GEN					019-86-0560-9	hardback	1	
874	"Keown, Damien"			Oxford Dictionary of Buddhism		2004	Oxford University Press				REF	GEN					9780192-800626	paperback	1	
875	R E Buswell Jr &DS Lopez Jr			The Princeton Dictionary of Buddhism		2014	Princeton				REF	GEN					978-0-691-15786-3	Hardback	1	
876	"Keown, D and Prebish C (ed)"			Encyclopedia of Buddhism		2010	Routledge				REF	GEN					978-0-415-55624-8	Paperback	1	
877	Sangharakshita			Alternative Traditions		1986				Sangharakshita	SANG	ALT					0-904766-22-5	Book	1	
878	Sangharakshita			Alternative Traditions		1986				Sangharakshita	SANG	ALT					0-904766-22-5	Book	1	
879	Sangharakshita			Alternative Traditions		1986				Sangharakshita	SANG	ALT					0-904766-22-5	Book	1	
880	Sangharakshita			Ambedkar and Buddhism		2002				Books in other languages	SANG	AMB	Hi					Paperback book	1	
881	Sangharakshita			Ambedkar and Buddhism		2002				Books in other languages	SANG	AMB	Hi					Paperback book	1	
882	Sangharakshita			Ambedkar and Buddhism		1989				Sangharakshita; Ambedkar	SANG	AMB					0-904766-28-4	Book	1	
883	Sangharakshita			Ambedkar and Buddhism		1989				Sangharakshita; Ambedkar	SANG	AMB					0-904766-28-4	Book	1	
884	Sangharakshita			Anagarika Dharmapala	A Biographical Sketch (The Wheel Publication No.70-72)	1983			3	Sangharakshita	SANG	ANA						Booklet	1	
885	Sangharakshita			Anagarika Dharmapala	A Biographical Sketch (The Wheel Publication No.70-72)	1983			3	Sangharakshita	SANG	ANA						Booklet	1	
886	Sangharakshita			Anagarika Dharmapala	A Biographical sketch and othe Maha Bodhi writings	2014	ibis				SANG	ANA					978-1-291-43071-4	paperback	1	
887	Sangharakshita			Auspicious Signs	A Seminar on the Mangala Sutta	1985				Sangharakshita	SANG	AUS						Book	1	
888	Sangharakshita			Auspicious Signs	A Seminar on the Mangala Sutta	1985				Sangharakshita	SANG	AUS						Book	1	
889	Sangharakshita			Beating the Drum	Maha Bodhi Editorails	2012	Ibis				SANG	BEA					978-1-291-10922-1	paperback	1	
890	Sangharakshita			The Bodhisattva	Evolution & Self-transcendence	1986			2	Sangharakshita	SANG	BOD						Booklet	1	
891	Sangharakshita			The Bodhisattva Ideal	Wisdom and Compassion in Buddhism	1999				Sangharakshita	SANG	BOD					1-899579-20-6	Book	1	
892	Sangharakshita			The Bodhisattva Ideal	Wisdom and Compassion in Buddhism	1999				Sangharakshita	SANG	BOD					1-899579-20-6	Book	1	
893	Sangharakshita			Buddhan Jalo Kahedksan-Osainen Polku		1994				Sangharakshita	SANG	BUD	Fi				951-96285-3-3	Book	1	
894	Sangharakshita		Dhammaloka	Buddhismus im Westen	Die Integration des Buddhismus in die westliche Gesellschaft	1992	DO Publikationen   	Essen			SANG	BUD	G				3 929447 01 0	Paperback	1	
895	Sangharakshita			"Buddhismus, Weltfrieden and Atomkrieg1984"	Weltfrieden	1984	Windross Publikationen	Essen			SANG	BUD	G				3-929447-01-0	Paperback	1	
896	Sangharakshita			Budismo para principaintes y maestros		1996	Fundacion Tres Joyas			Books in other languages	SANG	BUD	Sp				84-88768-12-5	Book	1	
897	Sangharakshita			El Budismo en Occidente		1993	Fundacion Tres Joyas			Books in other languages	SANG	BUD	Sp				84-88768-03-6	Book	1	
898	Sangharakshita			El Budismo: La ensenanza y su pra?ctica		1993	Fundacion Tres Joyas			Books in other languages	SANG	BUD	Sp				84-88768-01-x	Paperback book	1	
899	Sangharakshita			Buddha Mind		2001	windhorse			Sangharakshita	SANG	BUD					1-899579-43-5	Book	1	
900	Sangharakshita			Buddha Mind		2001	windhorse			Sangharakshita	SANG	BUD					1-899579-43-5	Book	1	
901	Sangharakshita			Buddhism and the West	The Integration of Buddhism into Western Society	1992				Sangharakshita	SANG	BUD					0-904766-55-1	Booklet	1	
902	Sangharakshita			Buddhism for Today & Tomorrow		1996	Windhorse	Birmingham	1	Buddhist scriptures; anthologies	SANG	BUD		personal development; new society; new world; human existence	Introduction to the Triratna/FWBO Buddhist movement and Sangharakshita vision of personal and societal transformation	0-9-04766-83-7		Book	1	
903	Sangharakshita			The Buddha's Noble Eightfold Path						Sangharakshita	SANG	BUD						book	1	
904	Sangharakshita			The Buddha's Noble Eightfold Path						Sangharakshita	SANG	BUD						book	1	
905	Sangharakshita			The Buddha's Victory		1991				Sangharakshita	SANG	BUD					0-904766-50-5	Book	1	
906	Sangharakshita			The Buddha's Victory		1991				Sangharakshita	SANG	BUD					0-904766-50-5	Book	1	
907	Sangharakshita			The Call of the Forest and Other Poems		2000				Sangharakshita	SANG	CAL					1-899579-24-9	Book	1	
908	Sangharakshita			Complete Poems 1941/1994		1995				Sangharakshita	SANG	COM					0-904766-70-5	Book	1	
909	Sangharakshita			Complete Poems 1941/1994		1995				Sangharakshita	SANG	COM					0-904766-70-5	Book	1	
910	Sangharakshita			Mahayana Myths & Stories	Complete Works 16	2017	Windhorse				SANG	COM 16						hardback	1	
911	Sangharakshita			The Rainbow Road from Tooting Broadway to Kalimpong	Complete Works 20	2017	Windhorse				SANG	COM 20						hardback	1	
912	Sangharakshita			The Three Jewels II	Complete works 3	2017	Windhorse				SANG	COM 3						hardback	1	
913	Sangharakshita			Dr Ambedkar and the Revival of Budhism I	Complete Works 9	2016	Windhorse				SANG	COM 9						hardback	1	
914	Sangharakshita			Conquering New Worlds	selected poems of Sangharakshita	1986				Sangharakshita	SANG	CON					0-904766-26-8	Book	1	
915	Sangharakshita			Creative Symbols of Tantric Buddhism		2002	Windhorse				SANG	CRE					189-9579478	paperback	1	
916	Sangharakshita			Crossing the Stream	Reflections on the Buddhist Spiritual Path	1996			2	Sangharakshita	SANG	CRO					0-904766-78-0	Paperback	1	
917	Sangharakshita			Crossing the Stream	Reflections on the Buddhist Spiritual Path	1996			2	Sangharakshita	SANG	CRO					0-904766-78-0	Paperback	1	
918	Sangharakshita			Crossing the Stream	Reflections on the Buddhist Spiritual Path	1996			2	Sangharakshita	SANG	CRO					0-904766-78-0	Paperback	1	
919	Sangharakshita			Dear Dinoo	Letters to a Friend	2011	Ibis				SANG	DEA					978-1-4478-5581-1	paperback	1	
920	Sangharakshita			Dhammapada	The Way of Truth	2001				Sangharakshita	SANG	DHA					1-899579-35-4	Book	1	
921	Sangharakshita			The Drama of Cosmic Enlightenment	"Parables, Myths, and Symbols of the White Lotus Sutra"	1993				Sangharakshita	SANG	DRA					0-904766-59-4	Book	1	
922	Sangharakshita			The Drama of Cosmic Enlightenment	"Parables, Myths, and Symbols of the White Lotus Sutra"	1993				Sangharakshita	SANG	DRA					0-904766-59-4	Book	1	
923	Sangharakshita			Early writings 1944 -1954		2014	Ibis				SANG	EAR					978-1-291-78614-9	paperback	1	
924	Sangharakshita		Ida Sohlman	Tahtien verho		1983	Lansimaisen buddhalaisen veljeskunnan ystavat	Helsinki			SANG	ENC	Fi				951 99455 5 6	Paperback	1	
925	Sangharakshita			The Enchanted Heart	Poems 1946-1976	1980				Sangharakshita	SANG	ENC						Booklet	1	
926	Sangharakshita		Sumati	Zen olemus ja ydin		1984	Lansimaisen buddhalaisen veljeskunnan ystavat	Helsinki			SANG	ESS	Fi				951 99603 7 6	Paperback	1	
927	Sangharakshita			Iniciacion al Zen		1996	Fundacion Tres Joyas			Sangharakshita	SANG	ESS 	Sp				84-88768-12-5	Book	1	
928	Sangharakshita			The Essence of Zen	Five Talks by Ven. Maha Sthavira Sangharakshita	1983				Sangharakshita	SANG	ESS 					0-904766-047	Book	1	
929	Sangharakshita			The Essence of Zen	Five Talks by Ven. Maha Sthavira Sangharakshita	1973	sparta			Sangharakshita	SANG	ESS 						Book	1	
930	Sangharakshita			The Essence of Zen	Five Talks by Ven. Maha Sthavira Sangharakshita	1973	sparta			Sangharakshita	SANG	ESS 						Book	1	
931	Sangharakshita			The Essence of Zen	Five Talks by Ven. Maha Sthavira Sangharakshita	1992	windhorse			Sangharakshita	SANG	ESS 						Book	1	
932	Sangharakshita (ed. K.Stout)			The Essential Sangharakshita	A Half Century of Writings from the Founder of The Friends of the Western Buddhist Order	2009				Sangharakshita	SANG	ESS 					0-86171-585-3	Book	1	
933	Sangharakshita (ed. K.Stout)			The Essential Sangharakshita	A Half Century of Writings from the Founder of The Friends of the Western Buddhist Order	2009				Sangharakshita	SANG	ESS 					0-86171-585-3	Book	1	
934	Sangharakshita (ed. K.Stout)			The Essential Sangharakshita	A Half Century of Writings from the Founder of The Friends of the Western Buddhist Order	2009				Sangharakshita	SANG	ESS 					0-86171-585-3	Book	1	
935	Sangharakshita		William Gemmell&Wong Mow Lam	Das Buddha-Wort	Das Schatzhaus der 'heligen Schriften des Buddhismus	1992	Otto Wilhem				SANG	ETE	G				3-502-65400X	Hardback	1	
936	Sangharakshita			The Eternal Legacy	An Introduction to the Canonical Literature of Buddhism	1985				Sangharakshita	SANG	ETE					0-948006-02-1	Book	1	
937	Sangharakshita			Extending the Hand of Fellowship	The relation of the Western Buddhist Order to the Rest of the Buddhist World	1996				Sangharakshita	SANG	EXT					0-904766-62-4	Book	1	
938	Sangharakshita			Facing Mount Kanchenjunga	An English Buddhist in the Eastern Himalayas	1991				Sangharakshita	SANG	FAC					0-904766-52-7	Book	1	
939	Sangharakshita			Facing Mount Kanchenjunga	An English Buddhist in the Eastern Himalayas	1991				Sangharakshita	SANG	FAC					0-904766-52-7	Book	1	
940	Sangharakshita			Facing Mount Kanchenjunga	An English Buddhist in the Eastern Himalayas	1991				Sangharakshita	SANG	FAC					0-904766-52-7	Book	1	
941	Sangharakshita			Flame in Darkness	The Life and sayings of Anagarika Dharmapala	1980				Sangharakshita	SANG	FLA						Book	1	
942	Sangharakshita			Flame in Darkness	The Life and sayings of Anagarika Dharmapala	1980				Sangharakshita	SANG	FLA						Book	1	
943	Sangharakshita			Forty-Three Years Ago	Reflections on my Bhikkhu Ordination	1993				Sangharakshita	SANG	FOR					0-904766-64-0	Paperback	1	
944	Sangharakshita			Forty-Three Years Ago	Reflections on my Bhikkhu Ordination	1993				Sangharakshita	SANG	FOR					0-904766-64-0	Paperback	1	
945	Sangharakshita			Forty-Three Years Ago	Reflections on my Bhikkhu Ordination	1993				Sangharakshita	SANG	FOR					0-904766-64-0	Paperback	1	
946	Sangharakshita			The FWBO and 'Protestant Buddhism'	An Affirmation and a Protest	1992				Sangharakshita	SANG	FWB					0-904766-60-8	Book	1	
947	Sangharakshita			The FWBO and 'Protestant Buddhism'	An Affirmation and a Protest	1992				Sangharakshita	SANG	FWB					0-904766-60-8	Book	1	
948	Sangharakshita		Zomar Pontes Ramos	Ida ao refugio		2000	Editora Atoma 				SANG	GOI	Pt				85-87585-03-7	Paperback	1	
949	Sangharakshita			Ida ao Refugio		1986	Editora Atomo			Sangharakshita	SANG	GOI	Sp				85-87585-03-7	Pamphlet	1	
950	Sangharakshita			Going for Refuge	"A Lecture delivered at 'Theosophy Hall', Bombay, on 31st December 1981"	1983				Sangharakshita	SANG	GOI				broken		Pamphlet	1	
951	Sangharakshita			Going for Refuge		1983				Sangharakshita	SANG	GOI					0-904766-21-7	Pamphlet	1	
952	Sangharakshita			Great Buddhists of the Twentieth Century		1996				Sangharakshita	SANG	GRE					0-904766-80-2	Book	1	
953	Sangharakshita		 Shuddhavajra	El Budismo	La ensenanza y su practica	1993	Tres Joyas	Valencia			SANG	GUI	Sp				9 788488 768018	Paperback	1	
954	Sangharakshita			A Guide to the Buddhist Path		1990				Sangharakshita	SANG	GUI					0-904766-35-7	Book	1	
955	Sangharakshita			A Guide to the Buddhist Path		1990				Sangharakshita	SANG	GUI					0-904766-35-7	Book	1	
956	Sangharakshita			Hercules and the Birds and other poems		1990				Sangharakshita	SANG	HER					0-904766-43-8	Book	1	
957	Sangharakshita			Hercules and the Birds and other poems		1990				Sangharakshita	SANG	HER					0-904766-43-8	Book	1	
958	Sangharakshita			The History of My Going for Refuge		1988				Sangharakshita	SANG	HIST					0-904766-33-0	Book	1	
959	Sangharakshita			The History of My Going for Refuge		1988				Sangharakshita	SANG	HIST					0-904766-33-0	Book	1	
960	Sangharakshita			The History of My Going for Refuge		1988				Sangharakshita	SANG	HIST					0-904766-33-0	Book	1	
961	Sangharakshita		FWBO translation team	Erleuchtung		1992	DO Publikationen   				SANG	HUM	G				3-929447-00-2	Paperback	1	
962	Sangharakshita		Marcia Epstein Fiker	A Illuminacio Humana		2000	Editora Atoma 				SANG	HUM	Pt				85-87585-04-5	Paperback	1	
963	Sangharakshita		Shuddhavajra and Manjunatha	La iluminacionel ideal del de sarrolla humana		1994	Tres Joyas	Valencia			SANG	HUM	Sp 				9 788488 768049	Paperback	1	
964	Sangharakshita			Human Enlightenment		1980				Sangharakshita	SANG	HUM					0-904766-10-1	Booklet	1	
965	Sangharakshita			The Inconceivable Emanicipation	Themes from the Vimalakirti - Nirdesa	1995				Sangharakshita	SANG	INC					0-904766-88-8	Book	1	
966	Sangharakshita			The Inconceivable Emanicipation	Themes from the Vimalakirti - Nirdesa	1995				Sangharakshita	SANG	INC					0-904766-88-8	Book	1	
967	Sangharakshita			The Inconceivable Emanicipation	Themes from the Vimalakirti - Nirdesa	1995				Sangharakshita	SANG	INC					0-904766-88-8	Book	1	
968	"Sangharakshita & Mallander, J.O."""			In the Realm of the Lotus	"A conversation about art, beauty and the spiritual life"	1995				Sangharakshita	SANG	INT					0-904766-72-1	Book	1	
969	"Sangharakshita & Mallander, J.O."""			In the Realm of the Lotus	"A conversation about art, beauty and the spiritual life"	1995				Sangharakshita	SANG	INT					0-904766-72-1	Book	1	
